project_code,project_name,sector,original_cost_cr,expenditure_cr,original_end_date,revised_end_date
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,763,430.0,2023-12-31,2028-05-15
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,1480,0.0,2030-03-15,
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,2360,0.0,2029-02-05,
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,922,0.0,2028-07-27,
617727,Orvakal Industrial Area,Real Estate,2786,260.49,2028-10-30,
617729,Kopparthy Industrial Area,Real Estate,2136,39.75,2028-10-30,
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,1702,300.46,2026-09-21,2027-09-21
701658,Krishnapatnam Node - Phase 1 - Roads and Services Development,Real Estate,2139,857.05,2027-02-13,
701668,Development of Palakkad Node under extension of CBIC to Kochi,Real Estate,3805,0.0,2029-04-22,
707419,IMC at Prayagraj,Real Estate,658,0.0,2027-06-18,
602098,"Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K",Education,425,484.52,2023-06-30,2025-11-30
602099,Establishment of Permanent campus Phase 1 of IIM Sirmaur,Education,393,337.67,2023-10-31,2026-06-30
605292,"Construction of Permanent Campus of IIM Amritsar, Phase-I",Education,348,293.1,2023-06-30,2026-11-20
606013,Additional Campus of NITPatna,Education,499,449.96,2024-07-31,2026-01-31
606112,Tezpur University Projects,Education,154,137.84,2023-11-08,2025-12-31
606431,Construction of Permanent Campus for IIT Palakkad under Phase 1A,Education,1006,686.2,2022-06-07,2026-06-30
